city_no,city,country_no,country
402,Deniliquin,13,Australia
403,Nowra,13,Australia
404,Ulladulla,13,Australia
405,Batemans Bay,13,Australia
406,Cooma,13,Australia
407,Tumut,13,Australia
408,Leeton,13,Australia
409,Young,13,Australia
410,Cowra,13,Australia
411,Forbes,13,Australia
412,Goulburn,13,Australia
413,Kiama,13,Australia
414,Katoomba,13,Australia
415,Richmond,13,Australia
416,Lithgow,13,Australia
417,Parkes,13,Australia
418,Bathurst,13,Australia
419,Maitland,13,Australia
420,Singleton,13,Australia
421,Mudgee,13,Australia
422,Muswellbrook,13,Australia
423,Taree,13,Australia
424,Kempsey,13,Australia
425,Gunnedah,13,Australia
426,Coffs Harbour,13,Australia
427,Narrabri,13,Australia
428,Inverell,13,Australia
429,Yamba,13,Australia
430,Ballina,13,Australia
431,Wagga Wagga,13,Australia
432,Scone,13,Australia
433,Byron Bay,13,Australia
434,Berri,13,Australia
435,Peterborough,13,Australia
436,Wallaroo,13,Australia
437,Clare,13,Australia
438,Meningie,13,Australia
439,Kingston South East,13,Australia
440,Bordertown,13,Australia
441,Penola,13,Australia
442,Kingoonya,13,Australia
443,Kimba,13,Australia
444,Streaky Bay,13,Australia
445,Cowell,13,Australia
446,Tumby Bay,13,Australia
447,Andamooka,13,Australia
448,Woomera,13,Australia
449,Port Pirie,13,Australia
450,Gawler,13,Australia
451,Murray Bridge,13,Australia
452,Victor Harbor,13,Australia
453,Hamilton,13,Australia
454,Ouyen,13,Australia
455,Colac,13,Australia
456,Stawell,13,Australia
457,Horsham,13,Australia
458,Ararat,13,Australia
459,Maryborough,13,Australia
460,Bairnsdale,13,Australia
461,Sale,13,Australia
462,Traralgon,13,Australia
463,Wonthaggi,13,Australia
464,Cranbourne,13,Australia
465,Ballarat,13,Australia
466,Melton,13,Australia
467,Seymour,13,Australia
468,Shepparton,13,Australia
469,Cobram,13,Australia
470,Swan Hill,13,Australia
471,Sunbury,13,Australia
472,Proserpine,13,Australia
473,Theodore,13,Australia
474,Eidsvold,13,Australia
475,Barcaldine,13,Australia
476,Winton,13,Australia
477,Longreach,13,Australia
478,Caboolture,13,Australia
479,Warwick,13,Australia
480,Kingaroy,13,Australia
481,Dalby,13,Australia
482,Bongaree,13,Australia
483,Gympie,13,Australia
484,Ingham,13,Australia
485,Birdsville,13,Australia
486,Bedourie,13,Australia
487,Boulia,13,Australia
488,Richmond,13,Australia
489,Burketown,13,Australia
490,Hervey Bay,13,Australia
491,Biloela,13,Australia
492,Yeppoon,13,Australia
493,Emerald,13,Australia
494,Moranbah,13,Australia
495,Charters Towers,13,Australia
496,Ayr,13,Australia
497,Atherton,13,Australia
498,Port Douglas,13,Australia
499,Smithton,13,Australia
500,Scottsdale,13,Australia
501,Bicheno,13,Australia
502,Oatlands,13,Australia
503,Queenstown,13,Australia
504,Kingston,13,Australia
505,Tennant Creek,13,Australia
506,Yulara,13,Australia
507,Erldunda,13,Australia
508,Norseman,13,Australia
509,Halls Creek,13,Australia
510,Kununurra,13,Australia
511,Derby,13,Australia
512,Onslow,13,Australia
513,Exmouth,13,Australia
514,Carnarvon,13,Australia
515,Newman,13,Australia
516,Meekatharra,13,Australia
517,Three Springs,13,Australia
518,Manjimup,13,Australia
519,Northam,13,Australia
520,Esperance,13,Australia
521,Leonara,13,Australia
522,Laverton,13,Australia
523,Wyndham,13,Australia
524,Albury,13,Australia
525,Forster-Tuncurry,13,Australia
526,Port Macquarie,13,Australia
527,Tamworth,13,Australia
528,Grafton,13,Australia
529,Moree,13,Australia
530,Goondiwindi,13,Australia
531,Lismore,13,Australia
532,Wollongong,13,Australia
533,Ceduna,13,Australia
534,Mount Gambier,13,Australia
535,Port Augusta,13,Australia
536,Warrnambool,13,Australia
537,Mildura,13,Australia
538,Geelong,13,Australia
539,Camooweal,13,Australia
540,Quilpie,13,Australia
541,Charleville,13,Australia
542,Hughenden,13,Australia
543,Caloundra,13,Australia
544,Roma,13,Australia
545,Toowoomba,13,Australia
546,Georgetown,13,Australia
547,Thargomindah,13,Australia
548,Weipa,13,Australia
549,Karumba,13,Australia
550,Cloncurry,13,Australia
551,Maryborough,13,Australia
552,Bundaberg,13,Australia
553,Gladstone,13,Australia
554,Bowen,13,Australia
555,Innisfail,13,Australia
556,Mackay,13,Australia
557,Burnie,13,Australia
558,Launceston,13,Australia
559,Katherine,13,Australia
560,Busselton,13,Australia
561,Mandurah,13,Australia
562,Broome,13,Australia
563,Kalgoorlie,13,Australia
564,Albany,13,Australia
565,Port Hedland,13,Australia
566,Karratha,13,Australia
567,Geraldton,13,Australia
568,Griffith,13,Australia
569,Orange,13,Australia
570,Dubbo,13,Australia
571,Armidale,13,Australia
572,Broken Hill,13,Australia
573,Port Lincoln,13,Australia
574,Whyalla,13,Australia
575,Portland,13,Australia
576,Bendigo,13,Australia
577,Wangaratta,13,Australia
578,Windorah,13,Australia
579,Mount Isa,13,Australia
580,Rockhampton,13,Australia
581,Cairns,13,Australia
582,Gold Coast,13,Australia
583,Devonport,13,Australia
584,Darwin,13,Australia
585,Alice Springs,13,Australia
586,Canberra,13,Australia
587,Newcastle,13,Australia
588,Adelaide,13,Australia
589,Townsville,13,Australia
590,Brisbane,13,Australia
591,Hobart,13,Australia
592,Perth,13,Australia
593,Melbourne,13,Australia
594,Sydney,13,Australia
595,Bregenz,14,Austria
596,Eisenstadt,14,Austria
597,Wiener Neustadt,14,Austria
598,Graz,14,Austria
599,Klagenfurt,14,Austria
600,Linz,14,Austria
601,Passau,14,Austria
602,Salzburg,14,Austria
603,Innsbruck,14,Austria
604,Vienna,14,Austria
605,Gadabay,15,Azerbaijan
606,Goranboy,15,Azerbaijan
607,Tovuz,15,Azerbaijan
608,Agdam,15,Azerbaijan
609,Qabala,15,Azerbaijan
610,Oguz,15,Azerbaijan
611,Ganca,15,Azerbaijan
612,Yevlax,15,Azerbaijan
613,Sumqayt,15,Azerbaijan
614,Ali Bayramli,15,Azerbaijan
